N,P,K,temperature,humidity,ph,rainfall,label
0.6428571428571428,0.4111111111111111,0.475,0.2590663471593201,0.7902668315256756,0.5004309639330067,0.7991508513192069,18
0.6071428571428571,0.5888888888888889,0.45000000000000007,0.3006489489234323,0.770632850772957,0.6414139173040276,0.9028910894606574,18
0.5285714285714286,0.3333333333333333,0.4375,0.5210287723335818,0.7687514436037337,0.6262131930914476,0.9737795056866625,18
0.6714285714285714,0.5333333333333333,0.4375,0.23096235625927142,0.8006646625084191,0.29378017717411,0.9698877630129892,18
0.6357142857142857,0.5444444444444444,0.41250000000000003,0.4288170854924831,0.8081436804621209,0.548476710804751,0.919469839259053,18
0.4857142857142857,0.5888888888888889,0.41250000000000003,0.36850523910902,0.8022877900557605,0.4565030052451833,0.8790713278249082,18
0.6642857142857143,0.5666666666666667,0.3875,0.4054326806437165,0.7908982497215867,0.627254605063907,0.7219221202746773,18
0.6714285714285714,0.5,0.4,0.48250276763229194,0.7746481443629094,0.6176819182752495,0.8282411284894409,18
0.42857142857142855,0.47777777777777775,0.42500000000000004,0.4179029111281667,0.7704066801900776,0.6425211831041973,0.9222693332972765,18
0.65,0.3333333333333333,0.42500000000000004,0.395112791688226,0.7717823034149283,0.623699435248515,0.8136956925039935,18
0.5499999999999999,0.36666666666666664,0.3875,0.3050741928652547,0.7691473446915107,0.35577506116005675,0.8937043910682899,18
0.6357142857142857,0.4444444444444444,0.3875,0.27985479469309216,0.7724423810842008,0.48448872819709177,0.7228848851798115,18
0.5428571428571428,0.3888888888888889,0.475,0.4587685895284739,0.8032666059104807,0.12293600213298195,0.9235725660368166,18
0.47857142857142854,0.6,0.45000000000000007,0.30892168233129125,0.7782643089414143,0.37124026692569556,0.8447255096641778,18
0.5928571428571429,0.39999999999999997,0.475,0.2671330218565998,0.7981485476264769,0.43483958909620646,0.9311093258833085,18
0.7,0.4666666666666667,0.4,0.38063568445794416,0.7824499450014114,0.7303033956632998,0.8915311797025751,18
